date,open,high,low,close,volume
2022-10-23,19206,19695.3,19078.69,19569.29,5209.672019
2022-10-24,19573.01,19601,19151.2,19330,11579.508758
2022-10-25,19332.44,20417.49,19241.47,20085.39,16237.356786
2022-10-26,20084.79,21022.62,20050,20774.51,24306.772113
2022-10-27,20774.51,20877.31,20203.56,20297.09,17470.869744
2022-10-28,20297.09,20755.98,20015,20598.6,14586.914954
2022-10-29,20597,21089.07,20560.3,20817.91,9896.324255
2022-10-30,20819.36,20935,20516.21,20631.58,6776.684562
2022-10-31,20631.36,20838.64,20240.01,20490.8,10199.25402
2022-11-01,20489.74,20697.71,20326.57,20478.31,7723.948104
2022-11-02,20480.96,20803.22,20058.43,20148.22,15894.431524
2022-11-03,20150.9,20390.55,20035.28,20206.26,8085.824173
2022-11-04,20205.48,21296.45,20181.15,21146.71,13042.65631
2022-11-05,21149.15,21479,21083.63,21294.08,5579.673873
2022-11-06,21295.96,21362.19,20888,20908.79,4145.775756
2022-11-07,20908.79,21068.6,20396.66,20592.62,8586.007408
2022-11-08,20593.33,20677.1,17600,18549.79,27123.992451
2022-11-09,18546.24,18591.15,15567,15891.72,18665.090281
2022-11-10,15887.31,18154.76,15727.64,17553.93,16338.160482
2022-11-11,17555.02,17650,16330.17,17014.2,15261.900053
2022-11-12,17016.22,17071.83,16595.95,16781.45,5028.330594
2022-11-13,16777.23,16913.89,16222,16298.53,3445.107379
2022-11-14,16302.87,17130.04,15790.46,16587.39,6049.590756
2022-11-15,16587.37,17100,16506.12,16879.54,6351.700156
2022-11-16,16877.05,16990.6,16367.32,16643.82,5792.937155
2022-11-17,16647.19,16734.08,16400,16680.75,4747.999455
2022-11-18,16681.06,16982.5,16531.56,16677,5149.563591
2022-11-19,16679,16803.36,16526.93,16683.67,2369.321615
2022-11-20,16682.92,16730.25,16157.5,16257.27,3786.544057
2022-11-21,16256.79,16278.14,15468.58,15756.6,9618.548119
2022-11-22,15761.31,16297.27,15599.93,16207,8706.179693
2022-11-23,16207.89,16701.51,16142.25,16585.23,8278.438976
2022-11-24,16588.36,16790,16450.5,16586.52,5785.502712
2022-11-25,16588.88,16607.91,16326.8,16510.68,3880.670117
2022-11-26,16512.61,16688,16381.63,16449.84,2208.276865
2022-11-27,16450.55,16589.46,16395.68,16421.59,2318.234931
2022-11-28,16421.59,16479.37,15990.1,16206.23,8308.709873
2022-11-29,16204.95,16538.91,16094.54,16435.97,6696.107328
2022-11-30,16437.36,17244,16422.52,17166.34,12140.65658
2022-12-01,17166.46,17312.76,16863.71,16978.09,6003.802139
2022-12-02,16980.48,17107.46,16793.12,17096.93,5748.304453
2022-12-03,17095.65,17162.67,16862.77,16888.29,3321.775945
2022-12-04,16887.31,17207.5,16878.7,17108.14,4318.330173
2022-12-05,17108.08,17424.31,16870.58,16967.48,8223.327346
2022-12-06,16967.71,17104.62,16908.65,17086.93,5862.855988
2022-12-07,17090.05,17138.6,16669,16837.64,4596.769299
2022-12-08,16836.58,17298.59,16741.67,17225.36,4879.564765
2022-12-09,17224.5,17350.45,17068.92,17130.04,4094.163797
2022-12-10,17130.03,17228.61,17095.9,17128.95,1720.978989
2022-12-11,17128.95,17270.31,17073.16,17083.83,2142.189126
2022-12-12,17086.82,17240,16875,17207.12,4283.737142
2022-12-13,17208.31,17988.8,17085,17777.01,6881.977994
2022-12-14,17778.96,18379.3,17665.51,17804.53,11603.838516
2022-12-15,17804.74,17856.69,17283.19,17358.98,7836.86438
2022-12-16,17357.57,17528.68,16534.69,16634.43,9636.152276
2022-12-17,16631.54,16796.62,16583.34,16777.49,3659.558415
2022-12-18,16778.69,16850.83,16666,16740.51,2263.068827
