date,open,high,low,close,volume
2022-09-12,62.22,63.22,60.18,61.42,7326.16914
2022-09-13,61.34,67.41,58.36,59.12,26786.87698
2022-09-14,59.07,61.19,58.18,60.21,12156.07117
2022-09-15,60.14,60.84,55.88,56.42,9638.79551
2022-09-16,56.32,56.96,54.62,55.97,8588.16135
2022-09-17,55.98,58.39,55.89,57.88,9594.60512
2022-09-18,57.82,57.89,52.26,52.7,12858.00445
2022-09-19,52.65,53.73,50.12,52.92,12751.78516
2022-09-20,52.98,53.85,50.83,52.27,11826.82527
2022-09-21,52.25,55.49,50.28,51.24,23081.13775
2022-09-22,51.13,54.03,50.65,53.59,6465.40293
2022-09-23,53.62,55.3,51.48,55.21,10323.58468
2022-09-24,55.25,55.92,53.23,53.5,11050.77728
2022-09-25,53.51,54.37,52.27,52.62,8794.31259
2022-09-26,52.45,53.73,51.9,53.45,7960.61461
2022-09-27,53.44,55.56,51.85,52.69,12884.22991
2022-09-28,52.75,53.73,51.02,53.26,9006.57339
2022-09-29,53.3,54.1,52.29,53.99,7493.30242
2022-09-30,54.01,55.1,52.9,53.43,13145.7061
2022-10-01,53.47,53.8,52.5,52.84,5260.72843
2022-10-02,52.87,53.44,51.7,51.79,8335.81748
2022-10-03,51.79,54.34,51.51,54.2,8039.21531
2022-10-04,54.2,55.74,53.91,55.29,8367.82434
2022-10-05,55.32,55.34,53.35,54.64,6772.73458
2022-10-06,54.65,55.18,53.38,53.53,9032.96869
2022-10-07,53.52,53.85,52.34,52.88,8593.63776
2022-10-08,52.84,53.68,52.41,52.75,4341.73004
2022-10-09,52.74,53.97,52.67,53.93,4361.33364
2022-10-10,53.93,54.44,52.5,52.64,7297.48655
2022-10-11,52.66,52.66,51.31,52.01,4664.05904
2022-10-12,52,52.93,51.63,52.2,5008.79434
2022-10-13,52.19,52.49,48.35,51.17,13428.91973
2022-10-14,51.09,52.59,50.95,51.29,4695.47576
2022-10-15,51.32,51.61,50.33,50.37,2380.28811
2022-10-16,50.39,51.84,50.39,51.47,4662.38086
2022-10-17,51.46,52.13,51.04,51.79,3393.21361
2022-10-18,51.82,52.2,50.76,51.85,3624.71057
2022-10-19,51.88,52,50.82,50.97,4008.54036
2022-10-20,50.94,52.05,50.57,51.19,7517.24279
2022-10-21,51.19,51.79,49.59,51.58,8292.87155
2022-10-22,51.64,52.46,51.35,52.18,4295.40129
2022-10-23,52.19,54.01,51.85,53.98,5371.80087
2022-10-24,54.02,54.19,52.17,52.55,6323.66759
2022-10-25,52.57,56.79,52.33,55.88,14651.03356
2022-10-26,55.89,57.61,55.68,56.4,10963.93463
2022-10-27,56.4,56.67,54.54,54.75,11199.84403
2022-10-28,54.66,55.56,53.55,54.91,10624.09567
2022-10-29,54.93,57.61,54.7,56.64,10089.94311
2022-10-30,56.64,57.49,54.72,55.36,6567.97672
2022-10-31,55.39,56.39,54.05,55.05,8215.36037
2022-11-01,55.04,55.89,54.5,55.11,8199.62789
2022-11-02,55.13,62.83,54.68,60.93,51083.51153
2022-11-03,60.91,64.7,60.14,61.89,25244.74128
2022-11-04,61.88,70.41,61.69,67.58,26055.76011
2022-11-05,67.64,71.85,67.12,69.2,24782.45728
2022-11-06,69.27,70.77,67.57,68.27,21160.07851
2022-11-07,68.3,73.25,66.18,67.44,33932.07381
2022-11-08,67.46,68.84,54.41,57.81,63920.31622
2022-11-09,57.78,59.74,47.49,50.35,60670.92732
2022-11-10,50.56,61.13,49.68,60.36,145667.55728
2022-11-11,60.18,64.05,58.47,61.08,14643.37784
2022-11-12,61.25,61.54,58.11,59.8,5966.50784
2022-11-13,59.77,60.17,56.22,57.35,3506.86074
2022-11-14,57.21,59.21,53.43,56.55,12163.5003
2022-11-15,56.62,59.42,56.4,57.97,11101.72786
2022-11-16,57.84,60.08,56.68,57.49,14696.87698
2022-11-17,57.5,63.26,56.93,62.46,16337.92663
2022-11-18,62.38,63.84,61.54,62.59,11232.72448
2022-11-19,62.54,64.48,61.32,63.82,11541.25515
2022-11-20,63.8,64.73,60.36,62,10440.85777
2022-11-21,62,63.43,59.32,61.18,14341.5818
2022-11-22,61.36,71.1,61.02,70.56,26549.87522
2022-11-23,70.38,83.24,69.55,78.86,43531.86876
2022-11-24,78.88,79.39,74.98,78.66,11830.58765
2022-11-25,78.56,79.78,73.16,73.92,13084.5967
2022-11-26,74.04,79.6,73.82,76.29,18061.09514
2022-11-27,76.52,79.17,74.18,75,12480.50625
2022-11-28,74.79,75.27,70.56,73.94,21161.54847
2022-11-29,73.79,77.84,73.43,75.81,20059.81484
2022-11-30,75.78,80.75,75.41,79.29,21564.98674
2022-12-01,79.1,80.54,76.2,77.52,13329.81084
2022-12-02,77.56,78.07,75.22,77.93,9612.71885
2022-12-03,77.93,78.05,75.5,76.45,6541.55671
2022-12-04,76.48,77.52,75.8,77.12,5964.70457
2022-12-05,77.07,84.93,76.83,80.21,19706.085
2022-12-06,80.24,81.75,77.75,79.84,12378.24304
2022-12-07,79.91,80.34,75.59,76.84,14549.87915
2022-12-08,76.92,78.7,74.48,78.31,12814.49387
2022-12-09,78.4,78.76,75.87,76.32,12222.49811
2022-12-10,76.23,77.41,75.67,76.23,5641.89504
2022-12-11,76.4,78.38,76.29,76.48,10406.52722
2022-12-12,76.47,76.68,73.53,76.33,12630.02748
2022-12-13,76.25,79.79,74.42,77.35,22297.87563
2022-12-14,77.46,79.02,74.21,75.34,13845.85449
2022-12-15,75.3,75.41,71.78,72.42,7366.34148
2022-12-16,72.45,73.52,65.01,66.32,17173.66299
2022-12-17,66.28,67.67,62.66,64.92,20759.90598
2022-12-18,64.92,65.9,63.1,64.36,5602.87052
2022-12-19,64.46,65.05,61.07,63.34,12176.3845
2022-12-20,63.32,66.2,63.13,65.58,8102.56863
2022-12-21,65.58,66.75,64.63,65.36,6779.408593765
2022-12-22,65.4,66.65,64.28,66.16,14563.847858038
2022-12-23,66.17,66.68,65.01,65.72,8375.100167163
2022-12-24,65.7,66.03,65.1,65.74,1931.74427
2022-12-25,65.78,69.64,65.32,69.18,14232.989190825
2022-12-26,69.1,71.53,68.58,70.75,17442.015752627
2022-12-27,70.81,71.06,67.76,68.69,13636.190076565
2022-12-28,68.68,69.4,65.66,66.31,12676.102414326
2022-12-29,66.27,67.22,65.57,66.71,12386.788580821
2022-12-30,66.57,68.6,66.01,67.94,11398.107853506
2022-12-31,67.83,71,67.61,69.91,14018.371544572
2023-01-01,70.12,71.44,68.9,70.85,13131.88661
2023-01-02,70.89,77.69,70.02,74.77,26601.394567589
2023-01-03,74.66,76.37,73.67,75.55,15299.071189199
2023-01-04,75.54,77.93,74.31,75.38,26281.16204793
2023-01-05,75.54,76.19,73.57,74.05,7777.146860739
2023-01-06,74.23,76.49,72.48,75.92,18416.673495613
2023-01-07,75.91,76.79,75.5,76.31,8459.329013805
2023-01-08,76.43,78.69,75.13,78.4628029,11584.647872804
2023-01-09,78.63,83.51,78.1,81.61,16915.245184793
2023-01-10,81.75,82.85,79.46,80.86,14353.203130447
2023-01-11,80.875733,84.97,79.9,84.01,17977.730577955
2023-01-12,84.1,87.49,81.37,86.03,37298.861544081
2023-01-13,86.15,87.91,83.6,86.35,14612.696937141
2023-01-14,86.19,91.04,86.01,87.7,34370.103029882
2023-01-15,87.86,88.58,85.41,87.31,10874.250122558
2023-01-16,87.27,88.97,84,85.64,15800.725968899
2023-01-17,85.64,89.27,84.62,86.98,15055.75745604
2023-01-18,86.98,88.38,82.34,82.62,22378.215099624
2023-01-19,82.61,84.54,81.69,84.24,8018.138171207
2023-01-20,84.24,91.24,83.02,90.45,15653.369721588
2023-01-21,90.28,91.88,87.75,87.94,12831.481142655
2023-01-22,87.91,89.97,86.66,87.47,9964.841920597
2023-01-23,87.61,93.07,87.54,89.88,12377.095524363
2023-01-24,89.92,91.4,86.21,87.23,11196.314623253
2023-01-25,87.17,91.9,85.64,89.23,8981.886385675
2023-01-26,89.53,89.92,86.94,87.5,7235.435824617
2023-01-27,87.67,89.24729778,85.88,88.95,8911.998612535
2023-01-28,88.94,89.97,87.05,89.82,4584.309769315
2023-01-29,89.88,97.7,89.85,94.9,24880.669302919
2023-01-30,94.85,95.99,88.87,91.27,16936.442629106
2023-01-31,91.45,96.24,91.45,94.16,15333.43356476
2023-02-01,94.09,102.52,91.39,100.41,24110.424890214
2023-02-02,100.38,102.21,98,98.57,11091.560924654
2023-02-03,98.62,103.17,97.51,99.89,9702.670000952
2023-02-04,100.05,101.34,98.33,98.53,6649.952276738
2023-02-05,98.41,98.98,94.89636,96.66,6315.081360321
2023-02-06,96.74,101.02,95.31,95.89,3580.356525732
2023-02-07,95.92,101.46,95.92,100.92,15598.623043002
2023-02-08,100.88,102.34,96.88,99.15,19930.55717748
2023-02-09,99.1078063,101.46,90.44,92.09,38229.754340558
2023-02-10,92.03,94.12,91.1,93.46,14189.17079266
2023-02-11,93.32,94.77,92.66,94.34,5337.38669062
2023-02-12,94.31,94.54,91,92.52,9197.899219417
2023-02-13,92.46,94.99,88.3,91.11,17820.903408872
2023-02-14,91.16,95.93,90.43,95.72,23831.69086357
2023-02-15,95.82,103.28,95.08,102.92,26964.294097377
2023-02-16,102.81,105.63,98.47,98.54,30002.975924407
2023-02-17,98.53,101.7,98.25,100.19,11757.189124804
2023-02-18,100.16,101.88,98.96,99.79,9136.941368001
2023-02-19,99.73,101.48,96.87,97.48,11175.16257815
2023-02-20,97.5,98.68,94.47,95.9,19300.53916242
2023-02-21,95.87,96.850623,91.66,93.8,19495.041118785
2023-02-22,93.8,95.51,91.64,95.24,14290.125471268
2023-02-23,95.29,96.28,93.4,94.79,5550.511692455
2023-02-24,94.6,95.25,89.92,91.58,9955.228639552
2023-02-25,91.55,93.46,90.5,93.19,7818.477093484
2023-02-26,93.14,95.49,92.79,95.22,5464.272078172
2023-02-27,95.25,96.12242414,92.49,94.1,7846.949887734
2023-02-28,94.1,96.03,93.06,93.71,6993.797334522
2023-03-01,93.93,98.35,93.59,97.81,8633.122969606
2023-03-02,97.92,98.31,93.98,95.39,4996.829931338
2023-03-03,95.43,95.51,87,90.64,8912.561711683
2023-03-04,90.61,90.84,87.52,89.36,4175.89940528
2023-03-05,89.38,91.77,89.21,89.96,4465.462204316
2023-03-06,89.83,90.61,86.55,87.42,10189.196807656
2023-03-07,87.55,88.87,84.19,86.26,14693.135147568
2023-03-08,86.31,86.66,81.34332645,82.77463274,12029.318575691
2023-03-09,82.76,89.8208218,75.08,76.7013854,15408.513423051
2023-03-10,76.70394285,85.19971545,68.19,71.671689275,22091.963787114
2023-03-11,71.63,84.6485,65.3674744,69.72535,36592.188570621
2023-03-12,69.73427,83.41525,67.876214,76.88115,24351.582821943
2023-03-13,76.88,87.570032,74.34,81.79060738,35712.754884826
2023-03-14,81.76384558,91.8017,79.55,84.2080585,34973.79747861
2023-03-15,84.1563065,86.759,75.15,76.7195,18948.875799274
2023-03-16,76.7353038,83.93644905,75.878378635,78.985204,30447.074330085
2023-03-17,78.9701785,86.44419,75.74752,85.70341355,31244.912861683
2023-03-18,85.72229765,88.5433855,78.0925,83.25677786,30345.940241017
2023-03-19,83.246565,86.58,82.31185,84.2176265,19939.888223313
2023-03-20,84.09183105,86.8085,73.9625,78.29423735,23411.986149357
2023-03-21,78.299445,84.95905,77.002355,82.69666165,17304.132190426
2023-03-22,82.7360657,88.5602545,78.0925,87.526615,72916.727120445
2023-03-23,87.52,94.889,85.71,93.8816571,58863.74682085
2023-03-24,93.86,96.2061257,84.4625,93.74255,39102.423027547
2023-03-25,93.75,95.05777,90.11,91.624925,14122.943157055
2023-03-26,91.56262711,96.37835,90.648895,93.4332965,18863.807031551
2023-03-27,93.42,95.9585,87.9055,89.342665,21251.001128802
2023-03-28,89.3,93.603237,85.63410085,89.1450588,13401.772632109
2023-03-29,89.22,95.115,87.58735337,91.3394288,17090.827011967
2023-03-30,91.33,94.326,86.7404069,89.11885,19148.122873148
2023-03-31,89.11511528,93.745,87.3,89.61234,6815.812419771
2023-04-01,89.60165,95.806804,89.37680891,92.614154,11884.090390985
2023-04-02,92.599,96.2492,90.33,92.8503892,12000.397071945
